Superhelden,AA,AB,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX
Action,Auf ... spucken,... (gefroren) zerbrechen,Von ... Corona Test machen,... hochschleudern,... mit Papamobil rammen,Mit ... im Schoß meditieren,... watschen,... durch Fleischwolf pressen,... eine rote Karte zeigen,Mit ... sich Beine wachsen,An ... riechen,Auf ... weinen,Auf ... knien,... mit Schneebesen umrühren,... in Paket liefern,... in Wasserflasche stecken,... mit Pinsel anmalen,... in Taschenmuschi stecken,... filmen,... einführen,Ohr mit ... ersetzen,... auf Kopf balancieren,... an die Decke kleben
Object,Trockenhaube,Ming Vase,FFP2 Maske,Rakete,Papamobil,Orangenes Tuch,Nackte Frau,Mettigel,Ausweis,Barbiepuppe,Bullar,Sturmhaube,Raumanzug,Schneebesen,Kokain Paket,Wasserflasche,Pinsel,Taschenmuschi,Kamera,Dildo,Ohr,Totenkopf,Echse
Star Wars,WA,WB,WD,WE,WF,WG,WH,WI,WJ,WK,WL,WM,WN,WO,WP,WQ,WR,WS,WT,WU,WV,WW,WX
Person,Anakin (Skywalker),Boba (Fett),(Count) Dooku,Ewok,Finn,General Grievous,Han (Solo),Imperator,Jar Jar (Binks),Kylo (Ren),Leia (Organa),(Darth) Maul,Nien Nunb,Obi (Wan Kenobi),C-3PO,Qui (Gon Jinn),R2D2,Stormtrooper,Tarkin,(Yoda),(Darth) Vader,(Mace) Windu,(Chewbacca)
Action,... in Lava verbrennen,An ... Jetpack befestigen,Auf ... Battle Droids hetzen,... mit At-St zerstampfen,... wie Toilettenpapier abwischen,... in Schraubstock fixieren,... hervorziehen,... herrscherblitzen,... mit Klebeband zukleben,... mit der Macht zerquetschen,... mit Haarbürste bürsten,... rasieren,... mit Maschienengwehr durchlöchern,... ummanteln,... mit Presslufthammer zerstampfen,... wie Flugzeug umfliegen,... schweißen,An ... vorbeischießen,... in Müllpresse zerpressen,... mit Blindenstock abtasten,... mit der Macht schweben lassen,... mit Laserschwert durchstoßen,... mit Armbrust abschießen
Object,Lava,Jetpack,Battle Droid,At-St,Toilettenpapier,Schraubstock,Lego Millenium Falke,Todesstern,Klebeband,Regenbogen,Haarbürste,Rasierer,Maschinengewehr,Glider,Presslufthammer,Podracer,Platine,Stormtrooper Helm,Müllpresse,Blindenstock,Darth Vader Helm,Lila Laserschwert,Armbrust
Horror,XA,XB,XD,XE,XF,XG,XH,XI,XJ,XK,XL,XM,XN,XO,XP,XQ,XR,XS,XT,XU,XV,XW,XX
Person,Ashley,Beth,Dementor,Emily,Frankenstein,Ghostface,Hannibal (Lecter),(Jigsaw),Jason,(Freddy) Krueger,Leatherface,Michael Myers ,(The) Nun,Otto Octavius,Pennywise,(Frau in) Schwarz,Reaper,Slenderman,(Jack) Torrance,Undertaker,Vampir,Wendigo,(Predator)
Action,... mit Sägeblatt halbieren,... mit Öllampe beleuchten,... Seele aussaugen,... heraufbeschwören,... an Boden festschrauben,... zuzwinkern,... verschlucken,... mit Handsäge sägen,... auseinanderziehen,Von ... Fingerabdrücke nehmen,... mit Kettensäge zerschneiden,... mit Machete zerhacken,Vor ... beten,... mit Oktopus Arme zerreißen,Mit ... herumblödeln,... aus Sumpf ziehen,... mit Sense abmähen,... pflastern,... mit Axt zerhacken,... in einen Sarg legen,... Blut aussaugen,... mit Spitzhacke hacken,Auf ... mit Zehenspitzen laufen
Object,Sägeblatt,Öllampe,Schokoladentafel,Skelett,Schraube,Ghost Maske,Lunge,Handsäge,Hockeymaske,Abgetrennte Hand,Kettensäge,Machete,Kleines Jesuskreuz,Oktopus Arme,Rote Nase,Kutsche,Sense,Pflaster,Axt,Sarg,Blut,Spitzhacke,Tutu
